trait,attribute,family
elevations,> 1000 m msl,viperidae
snout to vent length (svl),400 mm,viperidae
prehensile tail length (tl),97 mm,viperidae
anterior dorsal scale rows (dsr),23,viperidae
mid body scale rows (msr),21,viperidae
posterior scale rows (psr),15,viperidae
head length,21.5 mm,viperidae
supraoculars length,1.85 mm,viperidae
supraoculars width,4.15 mm,viperidae
eyes,distinct elliptical pupil,viperidae
vertical diameter of the eye,2.23 mm,viperidae
horizontal diameter,2.44 mm,viperidae
ventrals,155,viperidae
subcaudals scales,60 divided,viperidae
terminal scale on the tail,"larger, blunt at the tip",viperidae
head and dorsum colour,varies from bright green to faded dull green,viperidae
ventrals colour,creamish yellow to dirty white,viperidae
the region where the ventrals meet the dorsum,alternating with the ventral colour once every 2–3 scales,viperidae
pre/postocular stripe,absence of a dark stripe,viperidae
metlapilcoatlus borealis,"medium-sized, moderately robust",viperidae
tl males,657 mm,viperidae
tl females,594 mm,viperidae
rows of scales over the mid part of the body,22–25,viperidae
nasorostral scales,4–6,viperidae
ventrals,130–132,viperidae
subcaudals,26–35,viperidae
supraoculars,8–10,viperidae
interoculabial,2–3,viperidae
shields at the sides of the body before the cloaca,21–26,viperidae
"cyt b at positions 21, 369, 378, nd4 at positions 192, 405, and 459","unique nucleotides (c, a, a, c, g, t)",viperidae
metlapilcoatlus borealis,dark pigmentation in the last third of the body,viperidae
m. borealis hemipenis,"thickened sulcus spermaticus, smallest in genus, 6 spines at base, 6 rows of calyces",viperidae
postorbital stripe,"narrower, covers lower number of temporal scales (3-5)",viperidae
base coloration,from orange to dark brown,viperidae
dorsal and lateral blocks,always darker than the base color,viperidae
ventral coloration,from light yellow and white to yellow and orange,viperidae
postorbital stripe,narrower,viperidae
a pair of round spots on the parietal scales,no adjective,viperidae
mid-body dorsal scales,21 rows,viperidae
arched stripes on the occiput,no adjective,viperidae
ventral scales,168–170,viperidae
subcaudal scales,43–46,viperidae
brown postorbital stripe,"narrower, straight bordered",viperidae
triangular head,narrow,viperidae
supralabials,seven,viperidae
subcaudal scales,43–46 pairs,viperidae
background dorsal color,dark greyish brown,viperidae
canthus rostralis,indistinct,viperidae
eye color,"light greyish brown on the upper half, black on the bottom half",viperidae
pupil,"black, vertical with light yellow margins",viperidae
postorbital stripe,"relatively narrow, greyish brown, white bordered on the lower edge",viperidae
supralabials and infralabials,"greyish white, scattered with large irregularly sized, black blotches",viperidae
body coloration,dark blueish-grey,viperidae
ventral scales,"light grey, granitoid",viperidae
tail,"bony, similar to the main body in coloration on both ventral and dorsal sides",viperidae
variation in temporal scales,"3+5 on the left side, 2+4 on the right side",viperidae
ventrals in females,168–170,viperidae
urbacaudal scales in females,43–46,viperidae
total length ranges in adult females,529.5–629.1,viperidae
infralabials of the paratype,lack the greyish-yellow margins,viperidae
svl in adults,512-632 mm,viperidae
ventrals in females,196-204,viperidae
ventrals in males,190-202,viperidae
subcaudals in females,51-60,viperidae
subcaudals in males,58-66,viperidae
anterior intercanthals,three,viperidae
preoculars,two,viperidae
postoculars,two,viperidae
lacuno-labial,present,viperidae
third supralabial,usually in contact with the subocular,viperidae
interrictals,22-23,viperidae
infralabials,9-10,viperidae
subinfralabials in females,7-9,viperidae
subinfralabials in males,4-7,viperidae
symphyseal scale,elongated,viperidae
gulars,usually five,viperidae
interoculabials,1-3,viperidae
prefoveals,1-3,viperidae
post foveals,0-2,viperidae
head,creamish spot,viperidae
postocular stripe,bordered in white,viperidae
dorsals in anterior portion of body,22-25,viperidae
dorsals at midbody,21-24,viperidae
dorsals posteriorly,15-19,viperidae
lateral blotches,"trapezoidal anteriorly, triangular posteriorly, filled in brown",viperidae
rtl (relative tail length),longer in males,viperidae
rhl (relative head length),longer in females,viperidae
infralabial scales,more in females,viperidae
dorsal surface,greyish,viperidae
lateral markings,16-18; brownish; irregularly defined; trapezoidal anteriorly and triangular posteriorly; filled in brown with well-defined dark brown borders,viperidae
head color,pale brown,viperidae
occipital region and neck,two well-defined dark lines,viperidae
gular region,mostly whitish-creamish,viperidae
venter,creamish,viperidae
tail,grayish dorsally; covered with irregular small dark brown blotches anteriorly; uniformly brown posteriorly; conspicuous yellowish tail tip,viperidae
adult size,smaller,viperidae
dorsum,predominantly grayish and (or) brownish,viperidae
venter,whitish or light grayish,viperidae
postorbital stripes,"brownish and narrow, with a thin white border",viperidae
supralabials,8,viperidae
infralabials,11,viperidae
postoculars,2,viperidae
prefoveals,4–6,viperidae
postfoveals,1–2,viperidae
lacunolabial,absent,viperidae
interoculabials,4–5,viperidae
temporals,7,viperidae
intersupraoculars,5–8,viperidae
interrictals,23–25,viperidae
gulars,4–5,viperidae
lateral blotches of body,16–18,viperidae
anterior dorsals,"21–22 in females, 21 in male",viperidae
midbody dorsals,"21–23 in females, 21 in male",viperidae
posterior dorsals,"17–19 in females, 17 in male",viperidae
ventrals,"177–182 in females, 176 in male",viperidae
subcaudals,"49–51 in females, 53 in male",viperidae
anal plate,single,viperidae
background color,grayish,viperidae
marking on head,irregular and undefined markings,viperidae
color of supralabials and gulars,light gray,viperidae
color of venter,whitish and speckless,viperidae
lateral blotches of the body,inverted “v”,viperidae
dorsal surface,grayish/brownish,viperidae
lateral markings (saddles),"16/17 lateral triangular/trapezoidal, irregularly defined, dark or brown–gray with well-defined borders, weakly light-grayish edged, opposite and alternate to each other in the middle of dorsum",viperidae
dorsum of head,"grayish, with irregular and undefined dark-brown markings",viperidae
postorbital stripe,"dark brown, bordered below by a very thin light line",viperidae
gular region,"mostly whitish–creamish, with infralabials and symphysial finely speckled in gray",viperidae
venter,"mostly whitish, covering cloacal plate",viperidae
tail,"grayish dorsally, covered with small dark gray lateral blotches, with subcaudals mostly whitish in ventral plan",viperidae
hemipenes,short and strongly spinose,viperidae
body,green,viperidae
interstitial skin,black,viperidae
size,moderate,viperidae
maximum total length,750mm,viperidae
postocular stripe,"conspicuous bicolored in males, thin and white below, wide and bright red above, faint white or no postocular stripe present in female",viperidae
ventrolateral stripe,"vivid, wide bicolored, deep red below/white above in males, extending along the lower half of the tail, white in females",viperidae
eyes,"rust coloured in males, green in females",viperidae
tail,mostly rusty or reddish-brown,viperidae
v,157–162; sc: 54–67 in males and v: 153; sc: 54–55 in females,viperidae
first supralabial,distinct from nasal,viperidae
dorsal scale rows at midbody,19 or 21,viperidae
snout,covered with rather enlarged juxtaposed scales,viperidae
internasals,"never in contact, separated by 1–2 scale",viperidae
supraoculars,"narrower than internasals, separated by 9–10 smooth cephalic scales",viperidae
ventrolateral stripe in t. medoensis,red + white,viperidae
ventrolateral stripe in t. yunnanensis,pale green,viperidae
dorsal scale rows at midbody in t. medoensis,17,viperidae
dorsal scale rows at midbody in t. yunnanensis,19,viperidae
palatine teeth in trimeresurus mayaae,3–4,viperidae
pterygoid teeth in trimeresurus mayaae,10,viperidae
body size,small,viperidae
bilateral pits,no adjective,viperidae
divided subcaudal scales,no adjective,viperidae
eyes,relatively larger,viperidae
palatine teeth,three,viperidae
midbody dorsal scales,20 or 21 rows,viperidae
ventrals,151-163,viperidae
subcaudals,38-49,viperidae
dorsal body color,laurel green or light brown,viperidae
dorsal body pattern,"four rows of zigzag, dark brown patches",viperidae
dorsal body pattern,medial two rows separated from each other by alternate phyllotaxis pattern in background color,viperidae
ventrolateral stripe color,"continuous, regular greyish-brown",viperidae
ventrolateral stripes,"pale, greyish-white",viperidae
triangular head,no adjective,viperidae
ventrolateral stripe,lacking a white upper edge,viperidae
ventrals,fewer 151–163,viperidae
dorsal body,laurel-green,viperidae
dorsal body,with deep colored patches,viperidae
eyes,larger 14.5–17.1%,viperidae
postorbital stripes,thicker,viperidae
ventrolateral stripes,regular greyish-brown,viperidae
dorsal head,gray,viperidae
head markings,smoky-black,viperidae
lateral head,light gray,viperidae
postorbital stripe,otter brown,viperidae
dorsal body,laurel green,viperidae
dorsolateral body,with pine-needle colored patches,viperidae
ventrolateral body,with copper patches,viperidae
dorsal tail,smoky black,viperidae
ventral tail,laurel green,viperidae
ventrolateral tail,greyish brown,viperidae
ventral scales in females,150–172,viperidae
ventral scales in males,153–162,viperidae
internasal scales,in contact or separated by a single small scale,viperidae
canthorostral scales,no adjective,viperidae
lacunolabial scale,no adjective,viperidae
prelacunal scale,one,viperidae
hemipenial lobes,subconical and ornamented toward the apex by large and dense calyces with spinulate edges,viperidae
bifurcation point of hemipenial lobes,about 3–6 sudcaudal scales,viperidae
hemipenial body,"ornamented by numerous dense, large, and strongly calcified mesial spines arranged in oblique lines",viperidae
lateral and mesial spines of the hemipenial body,"homogeneous in size, in sulcate view",viperidae
body surface,with less than 28 dark-brown bands dorsally and/or juxtaposed trapezoid-shaped blotches with paler centers,viperidae
ventral surface of the tail,uniformly bright reddish or orange-reddish speckles with black spots without a regular pattern,viperidae
ventral ground color,"creamy white or pale yellow, heavily marked with black pigment towards the edges",viperidae
ventral surface of tail,bright reddish or orange-reddish speckles with black spots without a regular pattern,viperidae
dorsal surface of the head,pale brown to brown with diffuse marks dark-brown or grey without a distinctive pattern,viperidae
lateral surfaces of the head,scattered grey-brown,viperidae
postocular stripe,dark-brown,viperidae
ocelli,"tricolored, center white or white-cream, followed by an internal edge dark brown or black, and external broad circle or edge yellow or yellow-reddish",viperidae
ventral surfaces of the head,"dark orange-gold, peppered with brown",viperidae
